"","75","paris","PARIS 11E ARRONDISSEMENT","paris 11e arrondissement","Paris 11e Arrondissement","P620","PRS","75011","111","75111","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 12E ARRONDISSEMENT","paris 12e arrondissement","Paris 12e Arrondissement","P620","PRS","75012","112","75112","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 13E ARRONDISSEMENT","paris 13e arrondissement","Paris 13e Arrondissement","P620","PRS","75013","113","75113","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 14E ARRONDISSEMENT","paris 14e arrondissement","Paris 14e Arrondissement","P620","PRS","75014","114","75114","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 15E ARRONDISSEMENT","paris 15e arrondissement","Paris 15e Arrondissement","P620","PRS","75015","115","75115","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 16E ARRONDISSEMENT","paris 16e arrondissement","Paris 16e Arrondissement","P620","PRS","75016-75116","116","75116","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 17E ARRONDISSEMENT","paris 17e arrondissement","Paris 17e Arrondissement","P620","PRS","75017","117","75117","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 18E ARRONDISSEMENT","paris 18e arrondissement","Paris 18e Arrondissement","P620","PRS","75018","118","75118","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 19E ARRONDISSEMENT","paris 19e arrondissement","Paris 19e Arrondissement","P620","PRS","75019","119","75119","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 20E ARRONDISSEMENT","paris 20e arrondissement","Paris 20e Arrondissement","P620","PRS","75020","120","75120","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
